怀集音乐,#genre#
怀集音乐之声,http://live.xmcdn.com/live/1205/64.m3u8
怀集音乐之声,http://ls.qingting.fm/live/4804.m3u8

新电视台,#genre#
山东电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225788/index.m3u8
江西电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225789/index.m3u8
安徽电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225790/index.m3u8
广东电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225791/index.m3u8
广西电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225792/index.m3u8
四川电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225793/index.m3u8
吉林电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225794/index.m3u8
云南电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225795/index.m3u8
东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
峨眉电影,http://scgctvshow.sctv.com/hdlive/emei/1.m3u8

流畅央视,#genre#
央视新闻,http://stream4.jlntv.cn/cctv13/sd/live.m3u8
中央一台,http://yuniptvunql.chinayungu.cn:65530/live/cctv1/index.m3u8
中央二台,http://yuniptvunql.chinayungu.cn:65530/live/cctv2/index.m3u8
中央三台,http://yuniptvunql.chinayungu.cn:65530/live/cctv3/index.m3u8
中央四台,http://yuniptvunql.chinayungu.cn:65530/live/cctv4/index.m3u8
中央五台,http://yuniptvunql.chinayungu.cn:65530/live/cctv5/index.m3u8
中央五加,http://yuniptvunql.chinayungu.cn:65530/live/cctv5plus/index.m3u8
中央六台,http://yuniptvunql.chinayungu.cn:65530/live/cctv6/index.m3u8
中央七台,http://yuniptvunql.chinayungu.cn:65530/live/cctv7/index.m3u8
中央八台,http://yuniptvunql.chinayungu.cn:65530/live/cctv8/index.m3u8
中央九台,http://yuniptvunql.chinayungu.cn:65530/live/cctv9/index.m3u8
中央十台,http://yuniptvunql.chinayungu.cn:65530/live/cctv10/index.m3u8
中央十一,http://yuniptvunql.chinayungu.cn:65530/live/cctv11/index.m3u8
